id,Cultivar_Name,P,feature
417,Pebihun x Kanto98 x Kanto100,Pebihun x Kanto98, 
418,Pebihun x Kanto98 x Kanto100,Kanto100, 
419,Pebihun x Kanto98,Pebihun, 
420,Pebihun x Kanto98,Kanto98, 
421,Palbangmi,Milyang23,Milyang23*4
422,Palbangmi,O.glaberrima,Milyang23*4
423,Oumochi296 x Ishikaris1,Oumochi296, 
424,Oumochi296 x Ishikaris1,Ishikaris1, 
425,Ou329 x YR7632-Acp19,Ou329, 
426,Ou329 x YR7632-Acp19,YR7632-Acp19, 
427,Ou316,Kyokukei872, 
428,Ou316,Toyonishiki*2, 
429,Onnuri,Junam, 
430,Onnuri,HR14732, 
431,Ondami,Hitomebore, 
432,Ondami,Sangju27, 
433,Odaebyeo,Akitsuho, 
434,Odaebyeo,Fuji269, 
435,Nunkeunheugchal1ho,YR22517-Acp79(ge), 
436,Nunkeunheugchal1ho,Josaengheugchal, 
437,Nunkeunheugchal,Josaengheugchal, 
438,Nunkeunheugchal,YR23517-Acp79, 
439,Norin22,Kinki15, 
440,Norin22,Kinki9, 
441,Norin1,Moritawase, 
442,Norin1,Yukwoo132, 
443,Nonghobyeo,Milyang79, 
444,Nonghobyeo,Chukei314, 
445,Nongbaeg,Norin29, 
446,Nongbaeg,Ishikarishiroge, 
447,Nokwoo,LK1A-2-12-1-1, 
448,Nokwoo,IR72225-29-1-1, 
449,Nipponmasari ms,Nipponmasari,(gamma ray)
450,Nipponmasari,Kankei332, 
451,Nipponmasari,Nipponbare, 
452,Nikomaru,Kinumusume, 
453,Nikomaru,Hokuriku174, 
454,Namyang9,SR4084, 
455,Namyang9,Seomjinbyeo, 
456,Namyang7,Wasetoramochi x EESD.7, 
457,Namyang7,Cheolweon21, 
458,Nampyeongbyeo x Aya,Nampyeongbyeo, 
459,Nampyeongbyeo x Aya,Aya, 
460,Nampyeongbyeo,Milyang95, 
461,Nampyeongbyeo,Mangeumbyeo, 
464,Namcheonbyeo,YR3299-34-2-2, 
465,Namcheonbyeo,Suweon318, 
466,Namchan,Nikomaru, 
467,Namchan,Saenuri, 
468,Nakdongbyeo,Norin6, 
469,Nakdongbyeo,Mineyudaka, 
470,Nagoyutaka,Todorikiwase, 
471,Nagoyutaka,Ginmasari, 
472,Nagdongbyeo,Norin6, 
473,Nagdongbyeo,Mineyudaka, 
474,Milyang95,Chukei1016, 
475,Milyang95,Milyang79, 
476,MY299BK,YR24982-9-1, 
477,MY299BK,Ilpumbyeo,
478,MY298BB,Junam,JUNAM*4
479,MY298BB,Junam x IR72,JUNAM*4
480,Mogwoo,Dasanbyeo, 
481,Mogwoo,Andabyeo x IR71190-45-2, 
482,Miyatamamochi,Nankai76, 
483,Miyatamamochi,Minotamamochi, 
484,Misomi,Sobi, 
485,Misomi,SR21110, 
486,Misiru,Daeripbyeo1, 
487,Misiru,Seolgaeng, 
488,Mipum,Koshihikari, 
489,Mipum,Gyehwa21 x Junam, 
490,Mineyutaka x Chugoku65,Mineyutaka, 
491,Mineyutaka x Chugoku65,Chugoku65, 
492,Minehikari,BR No.1, 
493,Minehikari,Nakadeshinseubo, 
494,Mimyeon,72-13, 
495,Mimyeon,Hyangmibyeo2, 
496,Milyang95 x SR11155-4-2,Milyang95, 
497,Milyang95 x SR11155-4-2,SR11155-4-2, 
498,Milyang95 x Seomjinbyeo,Milyang95, 
499,Milyang95 x Seomjinbyeo,Seomjinbyeo, 
500,Milyang95,Chukei1016, 
501,Milyang95,Milyang79, 
502,Milyang79,Dongjinbyeo, 
503,Milyang79,Sin2, 
504,Milyang71,Nakdongbyeo, 
505,Milyang71,2067, 
506,Milyang64,Milyang15, 
507,Milyang64,Chak48-1, 
508,Milyang29,Suweon231, 
509,Milyang29,IR24, 
510,Milyang23 x Milyang30,Milyang23, 
511,Milyang23 x Milyang30,Milyang30, 
512,Milyang23 x Cheongcheongbyeo,Milyang23, 
513,Milyang23 x Cheongcheongbyeo,Cheongcheongbyeo, 
514,Milyang23,IR1317, 
515,Milyang23,IR24, 
516,Milyang216 x Hanareum,Milyang216, 
517,Milyang216 x Hanareum,Hanareum, 
518,Milyang216,Geumgangbyeo, 
519,Milyang216,Dasanbyeo, 
520,Milyang21 x IR32,Milyang21, 
521,Milyang21 x IR32,IR32, 
522,Milyang21 x HR963,Milyang21, 
523,Milyang21 x HR963,HR963, 
524,Milyang21,Suweon231, 
525,Milyang21,IR24, 
526,Milyang20,YR91-24-7, 
527,Milyang20,Saikai128, 
528,Milyang192,Hwayeongbyeo x Iksan429, 
529,Milyang192,Junam, 
530,Milyang175,Tohoku194, 
531,Milyang175,SX864, 
532,Milyang172,Sangjubyeo x Ilpumbyeo, 
533,Milyang172,Hwayeongbyeo, 
534,Junam x Sindongjin,Junam, 
535,Junam x Sindongjin,Sindongjin, 
536,Junam,Hwayeongbyeo, 
537,Junam,Sangjubyeo x Ilpumbyeo, 
538,Milyang153,Dohuku149, 
539,Milyang153,Ilpumbyeo, 
540,Milyang15,Nonglim6, 
541,Milyang15,Mineyutaka, 
542,Hwasambyeo,Hwayeongbyeo, 
